station_id,total_observations,most_recent_data,data_volume_score,data_age_days,freshness_score,feature_completeness,model_accuracy_factor,confidence_score
103606,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103609,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103611,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103612,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103613,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103614,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103616,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
103746,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
107668,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
173082,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
216992,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308731,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308757,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308799,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308800,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308801,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308802,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308803,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308804,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308805,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308806,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308807,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308809,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308810,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
308891,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309097,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309098,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309099,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309189,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309266,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309267,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309268,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309269,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309270,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309271,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309272,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309273,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309274,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309285,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309293,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309294,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309295,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309296,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309297,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309299,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309319,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309320,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
309351,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
472508,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
480741,720,2026-09-01 23:00:00,1.0,-1,1.0,1.0,0.741,0.922
