station_id,historical_availability_rate,uptime_rate,total_observations,failure_count,most_recent_data,data_age_days,freshness_score,history_confidence,reliability_score
103606,0.6444444444444445,0.9902777777777778,720,7,2026-09-01 23:00:00,-1,1.0,1.0,0.872
103609,0.6347222222222222,0.9777777777777776,720,16,2026-09-01 23:00:00,-1,1.0,1.0,0.864
103611,0.6152777777777778,0.9680555555555556,720,23,2026-09-01 23:00:00,-1,1.0,1.0,0.854
103612,0.6430555555555556,0.9861111111111112,720,10,2026-09-01 23:00:00,-1,1.0,1.0,0.87
103613,0.6180555555555556,0.9875,720,9,2026-09-01 23:00:00,-1,1.0,1.0,0.862
103614,0.6388888888888888,0.9916666666666668,720,6,2026-09-01 23:00:00,-1,1.0,1.0,0.871
103616,0.6208333333333333,0.9736111111111112,720,19,2026-09-01 23:00:00,-1,1.0,1.0,0.858
103746,0.6347222222222222,0.9847222222222224,720,11,2026-09-01 23:00:00,-1,1.0,1.0,0.867
107668,0.6138888888888889,0.9847222222222224,720,11,2026-09-01 23:00:00,-1,1.0,1.0,0.86
173082,0.6388888888888888,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.868
216992,0.6388888888888888,0.9722222222222222,720,20,2026-09-01 23:00:00,-1,1.0,1.0,0.864
308731,0.6246527777777777,0.9791666666666666,720,15,2026-09-01 23:00:00,-1,1.0,1.0,0.861
308757,0.625,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.863
308799,0.6458333333333334,0.9777777777777776,720,16,2026-09-01 23:00:00,-1,1.0,1.0,0.868
308800,0.6328703703703703,0.9805555555555556,720,14,2026-09-01 23:00:00,-1,1.0,1.0,0.865
308801,0.6347222222222222,0.9736111111111112,720,19,2026-09-01 23:00:00,-1,1.0,1.0,0.863
308802,0.6277777777777778,0.9791666666666666,720,15,2026-09-01 23:00:00,-1,1.0,1.0,0.862
308803,0.6166666666666667,0.9902777777777778,720,7,2026-09-01 23:00:00,-1,1.0,1.0,0.862
308804,0.6069444444444444,0.9777777777777776,720,16,2026-09-01 23:00:00,-1,1.0,1.0,0.855
308805,0.6444444444444445,0.9805555555555556,720,14,2026-09-01 23:00:00,-1,1.0,1.0,0.869
308806,0.6027777777777777,0.975,720,18,2026-09-01 23:00:00,-1,1.0,1.0,0.852
308807,0.575,0.9736111111111112,720,19,2026-09-01 23:00:00,-1,1.0,1.0,0.842
308809,0.6506944444444445,0.9916666666666668,720,6,2026-09-01 23:00:00,-1,1.0,1.0,0.875
308810,0.6284722222222222,0.9819444444444444,720,13,2026-09-01 23:00:00,-1,1.0,1.0,0.864
308891,0.6356481481481481,0.9791666666666666,720,15,2026-09-01 23:00:00,-1,1.0,1.0,0.865
309097,0.6625,0.9861111111111112,720,10,2026-09-01 23:00:00,-1,1.0,1.0,0.877
309098,0.6458333333333334,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.87
309099,0.6097222222222223,0.9805555555555556,720,14,2026-09-01 23:00:00,-1,1.0,1.0,0.857
309189,0.6229166666666667,0.9861111111111112,720,10,2026-09-01 23:00:00,-1,1.0,1.0,0.863
309266,0.6416666666666667,0.9861111111111112,720,10,2026-09-01 23:00:00,-1,1.0,1.0,0.87
309267,0.6263888888888889,0.975,720,18,2026-09-01 23:00:00,-1,1.0,1.0,0.86
309268,0.6402777777777777,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.868
309269,0.6347222222222222,0.9791666666666666,720,15,2026-09-01 23:00:00,-1,1.0,1.0,0.865
309270,0.6416666666666667,0.9847222222222224,720,11,2026-09-01 23:00:00,-1,1.0,1.0,0.869
309271,0.6326388888888889,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.866
309272,0.5986111111111111,0.9694444444444444,720,22,2026-09-01 23:00:00,-1,1.0,1.0,0.849
309273,0.6472222222222223,0.9805555555555556,720,14,2026-09-01 23:00:00,-1,1.0,1.0,0.87
309274,0.6569444444444444,0.9736111111111112,720,19,2026-09-01 23:00:00,-1,1.0,1.0,0.871
309285,0.6254629629629629,0.9861111111111112,720,10,2026-09-01 23:00:00,-1,1.0,1.0,0.864
309293,0.5986111111111111,0.9763888888888888,720,17,2026-09-01 23:00:00,-1,1.0,1.0,0.851
309294,0.6131944444444445,0.9777777777777776,720,16,2026-09-01 23:00:00,-1,1.0,1.0,0.857
309295,0.625,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.863
309296,0.6173611111111111,0.9805555555555556,720,14,2026-09-01 23:00:00,-1,1.0,1.0,0.859
309297,0.6388888888888888,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.868
309299,0.6041666666666666,0.9680555555555556,720,23,2026-09-01 23:00:00,-1,1.0,1.0,0.85
309319,0.5958333333333333,0.9833333333333332,720,12,2026-09-01 23:00:00,-1,1.0,1.0,0.853
309320,0.6319444444444444,0.9847222222222224,720,11,2026-09-01 23:00:00,-1,1.0,1.0,0.866
309351,0.6277777777777778,0.9777777777777776,720,16,2026-09-01 23:00:00,-1,1.0,1.0,0.862
472508,0.6138888888888889,0.9847222222222224,720,11,2026-09-01 23:00:00,-1,1.0,1.0,0.86
480741,0.6361111111111111,0.9875,720,9,2026-09-01 23:00:00,-1,1.0,1.0,0.868
